City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,19.26,76,20,13.87,GS,1717971155
1,san luis de la loma,17.2706,-100.8939,85.89,60,36,11.23,MX,1717971155
2,murygino,58.7383,49.4582,54.36,90,10,3.8,RU,1717971155
3,ushuaia,-54.8,-68.3,21.63,97,31,2.89,AR,1717971155
4,lihue,21.9789,-159.3672,85.24,65,20,14.97,US,1717971155
5,edinburgh of the seven seas,-37.0676,-12.3116,55.71,84,82,13.58,SH,1717971155
6,port-aux-francais,-49.35,70.2167,40.68,96,100,34.63,TF,1717971156
7,minas de marcona,-15.2119,-75.1103,56.97,76,48,14.03,PE,1717971156
8,stanley,54.868,-1.6985,49.71,84,20,6.91,GB,1717971156
9,kapuskasing,49.4169,-82.4331,39.31,90,100,12.86,CA,1717971156
10,hassi messaoud,31.6804,6.0729,97.97,15,100,11.65,DZ,1717971156
11,delta,5.5,6.0,75.49,98,99,3.15,NG,1717970878
12,soe,-9.8607,124.284,59.13,97,13,4.25,ID,1717971157
13,karachi,24.9056,67.0822,84.02,79,40,10.36,PK,1717971137
14,warri,5.5167,5.75,76.3,96,91,3.38,NG,1717971157
15,griffith,41.5284,-87.4237,79.34,32,40,18.41,US,1717971157
16,bilibino,68.0546,166.4372,50.92,48,13,3.27,RU,1717971157
17,port mathurin,-19.6833,63.4167,75.33,82,47,18.57,MU,1717971157
18,college,64.8569,-147.8028,78.1,27,75,4.61,US,1717971158
19,hawaiian paradise park,19.5933,-154.9731,83.71,63,0,6.91,US,1717971158
20,nadi,-17.8,177.4167,80.6,54,20,4.61,FJ,1717971158
21,souillac,-20.5167,57.5167,70.34,83,83,15.52,MU,1717971159
22,kargasok,59.0556,80.8572,54.97,57,0,7.0,RU,1717971159
23,gasa,31.5,34.4667,73.78,85,0,6.2,PS,1717971159
24,mejit,10.2753,170.8646,82.74,80,58,17.0,MH,1717971159
25,tura,25.5198,90.2201,75.31,96,25,5.12,IN,1717970947
26,broceni,56.7,22.5333,46.47,88,3,10.98,LV,1717971159
27,agios nikolaos,35.1914,25.7133,80.76,34,0,7.56,GR,1717971159
28,waitangi,-43.9535,-176.5597,55.81,95,100,11.99,NZ,1717971160
29,longyearbyen,78.2186,15.6401,37.24,65,75,11.5,SJ,1717970918
30,carbonear,47.7332,-53.2148,55.24,88,97,11.14,CA,1717971160
31,peterhead,57.5058,-1.7981,48.6,83,50,18.39,GB,1717971160
32,utrik,11.2278,169.8474,82.6,80,70,16.24,MH,1717971160
33,tiksi,71.6872,128.8694,33.84,92,100,7.34,RU,1717971160
34,bohlen,51.2,12.3833,57.15,75,100,2.06,DE,1717971161
35,iqaluit,63.7506,-68.5145,40.69,52,40,11.01,CA,1717970957
36,kandyagash,49.4744,57.4233,61.65,85,0,6.96,KZ,1717970950
37,statesboro,32.4488,-81.7832,96.6,35,0,11.5,US,1717970986
38,adamstown,-25.066,-130.1015,72.39,73,100,9.15,PN,1717971161
39,plastun,44.7561,136.2939,57.58,87,83,2.13,RU,1717971161
40,isangel,-19.55,169.2667,77.11,83,40,2.3,VU,1717970867
41,pemangkat,1.1667,108.9667,79.84,85,69,5.37,ID,1717971162
42,remire-montjoly,4.9167,-52.2667,82.44,83,40,3.44,GF,1717971162
43,banda aceh,5.5577,95.3222,80.1,83,100,13.38,ID,1717971162
44,dudinka,69.4058,86.1778,38.68,94,100,8.01,RU,1717971162
45,choibalsan,48.0667,114.5,62.4,60,92,4.61,MN,1717971162
46,sitka,57.0531,-135.33,53.49,71,100,5.75,US,1717971163
47,nevel'sk,46.6733,141.8633,55.44,99,100,9.08,RU,1717971163
48,hermanus,-34.4187,19.2345,54.81,77,12,8.63,ZA,1717971163
49,grand-bourg,15.8835,-61.3148,84.15,75,69,15.12,GP,1717971163
50,chivhu,-19.0211,30.8922,46.11,69,0,12.1,ZW,1717971164
51,lompoc,34.6391,-120.4579,82.78,69,0,16.11,US,1717971164
52,yellowknife,62.456,-114.3525,62.42,56,86,3.0,CA,1717970895
53,ketchikan,55.3422,-131.6461,61.27,29,100,10.36,US,1717971164
54,telimele,10.9167,-13.3333,74.46,90,63,3.15,GN,1717971164
55,alice springs,-23.7,133.8833,38.75,93,0,4.61,AU,1717971164
56,polyarnyy,69.1989,33.4478,41.25,88,23,6.06,RU,1717971165
57,niafunke,15.9322,-3.9906,98.92,19,9,5.35,ML,1717971165
58,whitehorse,60.7161,-135.0538,74.1,24,83,10.0,CA,1717970907
59,vorgashor,67.5833,63.95,35.8,96,100,4.94,RU,1717971165
60,suntar,62.1444,117.6319,57.76,81,63,4.45,RU,1717971165
61,dwarka,22.2394,68.9678,83.79,82,49,15.05,IN,1717971165
62,guerrero negro,27.9769,-114.0611,69.46,59,5,17.13,MX,1717971165
63,zhumysker,49.3333,49.4,71.85,54,99,7.67,KZ,1717971166
64,albany,42.6001,-73.9662,68.65,61,20,1.01,US,1717970926
65,blackmans bay,-43.0167,147.3167,41.52,86,6,1.99,AU,1717971166
66,jamestown,42.097,-79.2353,62.24,63,100,28.77,US,1717971166
67,tete,-16.1564,33.5867,66.65,67,0,8.88,MZ,1717971166
68,invercargill,-46.4,168.35,47.01,79,97,10.0,NZ,1717971167
69,mikuni,36.2171,136.1519,66.18,85,96,1.92,JP,1717971167
70,margaret river,-33.95,115.0667,60.87,56,97,23.82,AU,1717971167
71,port lincoln,-34.7333,135.8667,58.37,69,100,7.76,AU,1717971167
72,puerto natales,-51.7236,-72.4875,34.34,99,100,5.32,CL,1717971167
73,manokwari,-0.8667,134.0833,79.88,74,98,2.3,ID,1717971167
74,nova sintra,14.8667,-24.7167,73.85,83,0,21.81,CV,1717971168
75,tabou,4.423,-7.3528,78.48,88,97,9.89,CI,1717971168
76,atafu village,-8.5421,-172.5159,83.19,70,77,5.91,TK,1717971168
77,capitao poco,-1.7464,-47.0594,74.35,96,100,5.23,BR,1717971168
78,samana,19.2056,-69.3369,85.96,76,100,4.61,DO,1717971168
79,shibata,37.95,139.3333,68.76,80,100,2.84,JP,1717971168
80,port saint john's,-31.6229,29.5448,60.78,65,0,5.66,ZA,1717971168
81,kone,-21.0595,164.8658,76.37,61,100,1.19,NC,1717971169
82,katsuura,35.1333,140.3,66.07,90,100,12.48,JP,1717971169
83,qaqortoq,60.7167,-46.0333,46.53,89,90,2.55,GL,1717971169
84,georgetown,5.4112,100.3354,78.73,89,20,5.75,MY,1717971170
85,west bay,19.3667,-81.4167,86.07,82,40,12.66,KY,1717971170
86,bethel,41.3712,-73.414,74.75,59,20,9.22,US,1717971170
87,puerto ayora,-0.7393,-90.3518,80.56,94,74,1.99,EC,1717971170
88,ulsteinvik,62.3432,5.8487,54.75,91,100,14.0,NO,1717971170
89,luderitz,-26.6481,15.1594,67.95,27,7,8.05,NA,1717971170
90,sinabang,2.4803,96.3801,78.71,82,99,4.0,ID,1717971171
91,ugoofaaru,5.6667,73.0,83.82,76,92,17.36,MV,1717971171
92,veraval,20.9,70.3667,84.78,77,56,13.85,IN,1717971171
93,bandar-e lengeh,26.5579,54.8807,89.6,55,2,4.52,IR,1717971171
94,petropavlovsk-kamchatsky,53.0452,158.6483,59.59,63,75,14.0,RU,1717970903
95,saint-pierre,-21.3393,55.4781,69.48,73,8,5.75,RE,1717971172
96,pangody,65.85,74.4859,42.78,74,94,10.58,RU,1717971172
97,gadzhiyevo,69.2551,33.3362,40.53,91,35,7.92,RU,1717971172
98,thompson,55.7435,-97.8558,66.96,24,28,3.15,CA,1717970998
99,kirensk,57.7853,108.1119,50.97,66,94,4.0,RU,1717970752
100,breves,-1.6822,-50.4803,76.24,93,29,3.42,BR,1717971172
101,port elizabeth,-33.918,25.5701,56.21,78,0,3.96,ZA,1717971172
102,fortuna,40.5982,-124.1573,62.92,82,100,18.41,US,1717971173
103,weno,7.4515,151.8468,84.33,78,100,12.57,FM,1717971173
104,uturoa,-16.7333,-151.4333,79.03,82,97,11.77,PF,1717971173
105,crane,31.3974,-102.3501,101.17,10,88,5.3,US,1717970993
106,pisco,-13.7,-76.2167,64.45,88,100,4.61,PE,1717971173
107,sparta,43.9441,-90.8129,69.67,56,75,14.85,US,1717971153
108,st. john's,47.5649,-52.7093,54.79,91,75,18.41,CA,1717971005
109,pontianak,-0.0333,109.3333,78.78,100,100,3.44,ID,1717971174
110,kavieng,-2.5744,150.7967,83.66,78,100,7.56,PG,1717971174
111,takehara,34.3383,132.9167,66.24,100,100,3.44,JP,1717971174
112,isafjordur,66.0755,-23.124,40.55,83,81,3.67,IS,1717971175
113,manzhouli,49.6,117.4333,57.4,73,82,6.55,CN,1717971175
114,greenfield,42.9614,-88.0126,74.68,45,75,16.11,US,1717971175
115,aswan,24.0934,32.907,88.92,16,0,11.65,EG,1717971175
116,kerikeri,-35.2268,173.9474,65.91,91,70,4.0,NZ,1717971175
117,cabo san lucas,22.8909,-109.9124,78.62,69,0,11.5,MX,1717971175
118,tchintabaraden,15.8969,5.7985,92.64,33,63,18.7,NE,1717971175
119,tabas,33.5959,56.9244,85.66,11,0,2.37,IR,1717971176
120,ufa,54.775,56.0375,56.93,93,39,1.99,RU,1717971093
121,punta del este,-34.9667,-54.95,73.51,83,75,11.5,UY,1717971176
122,tsafe,11.9553,6.9223,88.32,44,20,8.12,NG,1717971176
123,ribeira grande,38.5167,-28.7,68.4,88,40,13.0,PT,1717971176
